Experiment,BO Iteration,EHVI-MPO-F1,EHVI-MPO-F2,EHVI-MPO-F3
Experiment 1,1,0.6940652259393064,0.9401064676625213,0.21137142475618761
Experiment 1,2,0.7480747222485828,0.9474416893744424,0.2112314607303997
Experiment 1,3,0.7156437739705185,0.9551022905436726,0.2215834390277526
Experiment 1,4,0.806957411752906,0.9460667391909885,0.204685951978326
Experiment 1,5,0.7525737548530551,0.9351457039409874,0.21698411049440688
Experiment 1,6,0.712728832321744,0.9365936828291137,0.22690904946509724
Experiment 1,7,0.7941730136533405,0.9307048136257345,0.22837204478605627
Experiment 1,8,0.7160526583415651,0.9540099914463407,0.23918094344392626
Experiment 1,9,0.698719853105938,0.9455224433507299,0.22099092574752324
Experiment 1,10,0.8062598494692417,0.9607304156316679,0.20396453441657167
Experiment 1,11,0.7129941965376263,0.9331386691619095,0.23123354870380267
Experiment 1,12,0.7408552816308385,0.9620213113681779,0.21518498136977524
Experiment 1,13,0.758192566394025,0.9601453374259162,0.21179502663348837
Experiment 1,14,0.7514900559751694,0.9465664965133557,0.20942978670010673
Experiment 1,15,0.698317402294968,0.9504077554560433,0.2116368045779556
Experiment 1,16,0.8567974951067983,0.9126262621322587,0.18951619012399287
Experiment 1,17,0.7475653656506279,0.9645505422499978,0.20866816783195216
Experiment 1,18,0.7850439716766807,0.9137670426432277,0.21472920665861353
Experiment 1,19,0.8282892068382873,0.92082950945787,0.2144695882210611
Experiment 1,20,0.8023327658301692,0.9486010913488199,0.23812747215539457
Experiment 2,1,0.5466422371809774,0.8304966425488319,0.2261996563737567
Experiment 2,2,0.5175164220851202,0.8585259732562244,0.22064284474182394
Experiment 2,3,0.6012890430483785,0.8747687314601711,0.20456668767943043
Experiment 2,4,0.6226540912718843,0.872278313434657,0.20259012681678906
Experiment 2,5,0.5784443466847008,0.9121564291505205,0.21706252824955857
Experiment 2,6,0.6783845268730871,0.9545544009516083,0.17991406546323432
Experiment 2,7,0.6964770469259887,0.9457550080082112,0.19327751125985906
Experiment 2,8,0.7320554912179417,0.9571702998287168,0.17342471574150023
Experiment 2,9,0.7499324024433855,0.9849583701118972,0.1686627205203982
Experiment 2,10,0.6650674082326363,0.9188092698735825,0.191966741435641
Experiment 2,11,0.6584894836748405,0.9093547996715785,0.18159411065345393
Experiment 2,12,0.7311109925144347,0.9636692803377221,0.16857209727308947
Experiment 2,13,0.7340307368530631,0.9332784711757025,0.17487961802456733
Experiment 2,14,0.8337235175367023,0.9407132011836508,0.1764910035328742
Experiment 2,15,0.6696688759192442,0.9261904968069179,0.18773956072849823
Experiment 2,16,0.8304539063327776,0.9562359092723453,0.17404081397424181
Experiment 2,17,0.8407850003944264,0.947454650346941,0.16282052448061113
Experiment 2,18,0.7981980648122817,0.9432593760744902,0.17750114091289604
Experiment 2,19,0.8953582445673675,0.9227774364455874,0.1969615379254262
Experiment 2,20,0.8180303147208399,0.9250766542565524,0.19049753326517718
Experiment 3,1,0.5360500441210526,0.8585747729495091,0.1950997470063749
Experiment 3,2,0.5807525235410735,0.8797757037009619,0.18658362127085718
Experiment 3,3,0.689081961205983,0.8883898787832791,0.17554368578172747
Experiment 3,4,0.6471876833874698,0.9106905605858523,0.17430926942020616
Experiment 3,5,0.5839494963599765,0.8797224469786036,0.17970739495572155
Experiment 3,6,0.5257383407130808,0.8805263166194847,0.19508072406710744
Experiment 3,7,0.679520018860077,0.9028531488683147,0.16252453031788205
Experiment 3,8,0.6859410739215688,0.9128635741508306,0.1647889587423959
Experiment 3,9,0.791748933602159,0.932239463129013,0.1660865282154726
Experiment 3,10,0.7470434853751062,0.9165906923382028,0.16084842674781047
Experiment 3,11,0.8068862805737038,0.9444302312298314,0.15762622361725598
Experiment 3,12,0.7098206262171496,0.9205559570677113,0.172661625840325
Experiment 3,13,0.7447484759105252,0.9437468707812653,0.15785729080815752
Experiment 3,14,0.8054632654973309,0.910643285314371,0.1477781212121784
Experiment 3,15,0.8733637738157789,0.9204272037603983,0.14152157220853456
Experiment 3,16,0.7756790789541652,0.886997895600832,0.19512262008999542
Experiment 3,17,0.896951391617073,0.9230431665958455,0.14670025608147538
Experiment 3,18,0.7739349190445737,0.9028651383589084,0.16647602399032063
Experiment 3,19,0.809984370413384,0.8545802482047172,0.17233746931815144
Experiment 3,20,0.8298558769589273,0.8211479476947103,0.16678344339726328
