Experiment,BO Iteration,EHVI-MPO-F1,EHVI-MPO-F2,EHVI-MPO-F3
Experiment 1,1,1.0,1.0,0.26629073
Experiment 1,2,1.0,1.0,0.28380102
Experiment 1,3,0.87034595,0.56263278,0.20750988
Experiment 1,4,1.0,1.0,0.15163297
Experiment 1,5,1.0,1.0,0.19779507
Experiment 1,6,0.77055673,1.0,0.38461538
Experiment 1,7,0.97434288,0.99983621,0.14922753
Experiment 1,8,0.00093486119,0.97914244,0.386115445
Experiment 1,9,1.0,1.0,0.1753212
Experiment 1,10,1.0,1.0,0.18048128
Experiment 1,11,0.15202041,1.0,0.27173913
Experiment 1,12,1.0,0.34078142,0.14888743
Experiment 1,13,0.04618039,1.0,0.17299107
Experiment 1,14,1.0,1.0,0.20373775
Experiment 1,15,0.37636269,1.0,0.21998636
Experiment 1,16,1.0,1.0,0.16240157
Experiment 1,17,1.0,0.82226901,0.28210117
Experiment 1,18,1.0,1.0,0.26165803
Experiment 1,19,1.0,1.0,0.28042522
Experiment 1,20,1.0,1.0,0.257431
Experiment 2,1,0.98393051,0.79413633,0.11669304
Experiment 2,2,0.67177488,1.0,0.14880952
Experiment 2,3,0.97478534,1.0,0.15227577
Experiment 2,4,1.0,1.0,0.18376414
Experiment 2,5,0.54307247,1.0,0.20444763
Experiment 2,6,1.0,1.0,0.14544688
Experiment 2,7,1.0,1.0,0.16578249
Experiment 2,8,0.65253663,1.0,0.12564991
Experiment 2,9,0.97478534,1.0,0.16612642
Experiment 2,10,1.0,1.0,0.10833333
Experiment 2,11,1.0,0.13058141,0.12444934
Experiment 2,12,1.0,1.0,0.19338118
Experiment 2,13,1.0,1.0,0.13360176
Experiment 2,14,1.0,1.0,0.16140603
Experiment 2,15,1.0,1.0,0.1619965
Experiment 2,16,1.0,1.0,0.11190878
Experiment 2,17,1.0,1.0,0.19525547
Experiment 2,18,1.0,1.0,0.23527299
Experiment 2,19,1.0,1.0,0.21939528
Experiment 2,20,1.0,1.0,0.26277372
Experiment 3,1,1.0,1.0,0.14695712
Experiment 3,2,1.0,1.0,0.12414384
Experiment 3,3,1.0,1.0,0.14223195
Experiment 3,4,0.8266743,1.0,0.1188455
Experiment 3,5,7.69955947e-12,0.000832563215,0.0720461095
Experiment 3,6,0.68134397,1.0,0.05640466
Experiment 3,7,1.0,1.0,0.14686684
Experiment 3,8,1.0,0.99296812,0.17562984
Experiment 3,9,1.0,1.0,0.09291271
Experiment 3,10,1.0,1.0,0.2180068
Experiment 3,11,0.8266743,0.03138756,0.18682796
Experiment 3,12,0.66217063,1.0,0.13495575
Experiment 3,13,1.0,1.0,0.05291005
Experiment 3,14,1.0,1.0,0.1092233
Experiment 3,15,1.0,1.0,0.2024838
Experiment 3,16,1.0,0.71383559,0.26678657
Experiment 3,17,1.0,1.0,0.17035775
Experiment 3,18,1.0,1.0,0.12914692
Experiment 3,19,1.0,0.10226578,0.19626949
Experiment 3,20,1.0,0.94793959,0.14674379
