Experiment,Iteration,Chosen Smiles for Osimertinib-MPO
Experiment 1,1,0.5006968564332149
Experiment 1,2,0.37929601699607896
Experiment 1,3,0.3847159046332833
Experiment 1,4,0.31135202504209764
Experiment 1,5,0.34838457924211114
Experiment 1,6,0.1792317037484088
Experiment 1,7,0.40657087942964154
Experiment 1,8,0.58891007887203
Experiment 1,9,0.615034492219845
Experiment 1,10,0.2357657071967068
Experiment 1,11,0.6735174573989112
Experiment 1,12,0.7020009831222326
Experiment 1,13,0.6736725254446679
Experiment 1,14,0.4796193455216193
Experiment 1,15,0.7001648705652852
Experiment 1,16,0.6833229635089332
Experiment 1,17,0.5864776933424788
Experiment 1,18,0.22597586646619583
Experiment 1,19,0.22951127289438766
Experiment 1,20,0.4642778396379803
Experiment 2,1,0.6500593260343691
Experiment 2,2,0.6354419143742598
Experiment 2,3,0.658320949155683
Experiment 2,4,0.5934074638303615
Experiment 2,5,0.6492877409049912
Experiment 2,6,0.5606994351865413
Experiment 2,7,0.5806030754582868
Experiment 2,8,0.619895087778616
Experiment 2,9,0.6896338634418056
Experiment 2,10,0.6665295629747561
Experiment 2,11,0.7181299486370114
Experiment 2,12,0.7177284220899909
Experiment 2,13,0.7187343508680895
Experiment 2,14,0.7228298690409737
Experiment 2,15,0.7291990294988594
Experiment 2,16,0.7228298690409737
Experiment 2,17,0.695503617039462
Experiment 2,18,0.6676660198938271
Experiment 2,19,0.685323440656937
Experiment 2,20,0.668295219668344
Experiment 3,1,0.6962378008423395
Experiment 3,2,0.7351340874009966
Experiment 3,3,0.7264492670054264
Experiment 3,4,0.7119481172267045
Experiment 3,5,0.3311095032349344
Experiment 3,6,0.6489534344707669
Experiment 3,7,0.7228298690409737
Experiment 3,8,0.7181299486370114
Experiment 3,9,0.6500593260343691
Experiment 3,10,0.6492877409049912
Experiment 3,11,0.658320949155683
Experiment 3,12,0.6896338634418056
Experiment 3,13,0.7177284220899909
Experiment 3,14,0.7187343508680895
Experiment 3,15,0.7291990294988594
Experiment 3,16,0.6665295629747561
Experiment 3,17,0.6412456392282971
Experiment 3,18,0.7168622827089236
Experiment 3,19,0.6921190707862636
Experiment 3,20,0.685323440656937
