Experiment,Iteration,Chosen Smiles for Ranolazine-MPO
Experiment 1,1,0.3749579573836972
Experiment 1,2,0.3612964029085522
Experiment 1,3,0.3929070016598947
Experiment 1,4,0.3365105314215954
Experiment 1,5,0.3289563550270253
Experiment 1,6,0.5862749078343672
Experiment 1,7,0.16394717130931352
Experiment 1,8,0.3110145238023275
Experiment 1,9,0.47648341497143193
Experiment 1,10,0.5211632336492286
Experiment 1,11,0.13795288838545972
Experiment 1,12,0.48948933702599445
Experiment 1,13,0.4740528532308376
Experiment 1,14,0.5088944509072886
Experiment 1,15,0.5516725941478046
Experiment 1,16,0.21145235802346954
Experiment 1,17,0.5689899711263648
Experiment 1,18,0.5972196593832738
Experiment 1,19,0.4192448170595327
Experiment 1,20,0.511725040302059
Experiment 2,1,0.4658354703134963
Experiment 2,2,0.5023348023099625
Experiment 2,3,0.5545798838112377
Experiment 2,4,0.4076472076533373
Experiment 2,5,0.4218431439690357
Experiment 2,6,0.22105234819475622
Experiment 2,7,0.2743542791410639
Experiment 2,8,0.3018095838071685
Experiment 2,9,0.19031618811486656
Experiment 2,10,0.5943587463524841
Experiment 2,11,0.49771485588332864
Experiment 2,12,0.5547287012712505
Experiment 2,13,0.2177603993598743
Experiment 2,14,0.15200823858657342
Experiment 2,15,0.5633138522491707
Experiment 2,16,0.5397979373697117
Experiment 2,17,0.5676217307874726
Experiment 2,18,0.36289306086983697
Experiment 2,19,0.5287980352033709
Experiment 2,20,0.5001770742530762
Experiment 3,1,0.3953587073098285
Experiment 3,2,0.19139669354159647
Experiment 3,3,0.512819892035565
Experiment 3,4,0.48801422895781266
Experiment 3,5,0.33133269202499355
Experiment 3,6,0.6471366855109113
Experiment 3,7,0.26933940991596605
Experiment 3,8,0.43437874765230333
Experiment 3,9,0.4652795878154703
Experiment 3,10,0.05600332499323784
Experiment 3,11,0.6777799235312334
Experiment 3,12,0.5656363333368843
Experiment 3,13,0.3679290735069014
Experiment 3,14,0.6078125790428882
Experiment 3,15,0.4127596285878245
Experiment 3,16,0.640768058181345
Experiment 3,17,0.6379656412395904
Experiment 3,18,0.4328653739968823
Experiment 3,19,0.42904098832132875
Experiment 3,20,0.6409874636794618
