BO Iteration, EI MPO, EHVI-MPO-F1, EHVI-MPO-F2, EHVI-MPO-F3
1, 0.65037703, 1., 1., 0.13360176
2, 0.62533396, 1., 1., 0.18117831
3, 0.61146332, 1., 1., 0.23869347
4, 0.68147153, 0.4351563, 1., 0.18760196
5, 0.3340828, 1., 1., 0.2445322
6, 0.27220122, 0.51679939, 1., 0.2258567
7, 0.63185638, 0.30927884, 0.99645138, 0.20149786
8, 0.61395644, 0.0205176, 1., 0.23480663
9, 0.58863373, 1., 1., 0.25876461
10, 0.58504742, 1., 1., 0.10772914
11, 0.5788315, 9.34861190e-04, 1.0, 3.23129252e-01
12, 0.55950392, 0.71799118, 1., 0.18685567
13, 0.65259703, 1., 1., 0.22080838
14, 0.55224187, 0.07484286, 1., 0.24212598
15, 0.63937749, 1., 1., 0.21664374
16, 0.57635755, 1., 1., 0.0848564
17, 0.60717064, 0.33794757, 1., 0.18497758
18, 0.1285272, 0.22353652, 0.92762787, 0.15973254
19, 0.53325043, 0.02304612, 1., 0.22783251
20, 0.57908801, 0.20511182, 1., 0.14885808
