Iteration,Chosen SMILES,Value of Chosen SMILES
0,C(CC1NCCCC1)(C2CCCCC2)C3CCCCC3,0.0
1,O1CCN(CC1)CCCNC(=O)/C=N/O,0.3017389391890729
2,O(C(CC)(CC)C#CCN1CCCCC1)CCC#N,0.44785226718247084
3,O=C(C1=CC(N(=O)=O)=CC=C1)C(NC(=O)CCCCCCCCCCC)C(OCC)O,0.4354262344003411
4,S=C(N1C2CC(NC(=O)NC34CC5CC(C3)CC(C4)C5)CC1CC2)NCCOC,0.42241918145850854
5,O=C(C=1C=CC(=CC1)NCCCC)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,0.3455640538231012
6,O=C(O)CN(CC(=O)O)CC(=O)O,0.3510849086070888
7,N(C(=O)CCCCCCC/C=C\CCCCCCCC)CCO,0.3100793598013509
8,O[C@@]12[C@H]3[C@@H]([C@@]4([C@](O)(CC3)C[C@@H](O[C@@H]5O[C@H]([C@H](O)[C@@H](O)[C@H]5O)C)C[C@H]4O)CO)[C@H](O)C[C@@]1([C@H](CC2)C=6C=C(OC6)O)C,0.3764175806653309
9,S=C(N/N=C(/CC(C1CCCCC1)(C)C)\C)N,0.44764867169106604
10,C(CCCCCCC/C=C\C/C=C\C/C=C\CC)(O)=O,0.3414766712649374
11,S1C(C2NC(=O)NC2C1)CCCCC(O)=O,0.4399547609185871
12,O(CCOCCOC(=O)C=C)CCOCCOC(=O)C=C,0.2807879412019434
13,O=C(C(CO)(C)C)C(O)NCCC(=O)O,0.4348482098345473
14,S(CNC(=O)CC12CC3CC(C1)CC(C2)C3)CC(O)=O,0.4147471301859241
15,O1C(C(O)C(O)C(NC(=O)C)C1OCCCCCCCCC)CO,0.3421905842591876
16,S(CCC(NC(=O)C(NC(=O)C1CCC(CC1)C)C(C)C)C(OC)=O)C,0.4467481696301749
17,[C@]12([C@@]([C@@H](C=3C=C(O)OC3)CC1)([C@H](O)C[C@H]4[C@H]2CC[C@@H]5C[C@@H](O[C@@H]6O[C@H](C)[C@H]([C@H](C6)O)O[C@@H]7O[C@H](C)[C@H]([C@H](C7)O)O[C@@H]8O[C@H](C)[C@H]([C@H](C8)O)O)CC[C@]45C)C)O,0.34925686412219953
18,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCC,0.36702485924349804
19,O1[C@H]([C@@H]1C(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCCCCN=C(N)N,0.3129436995187779
