Iteration,Acquisition Function Value,Chosen SMILES,f1,f2,f3,Hypervolume
0,0.4443276392296529,S(C1=NC=2C(C=C1CC3=CC=CC=C3)=CC=CC2)CC(=O)NC4=C(OC)C=CC=C4,10.2,0.40206257003572293,0.1865671641791045,0.29882823477270765
1,0.33718220390605785,CCNC(=O)C=1C=CC(=CC1)N2C(=CC(=N2)C)C3=CC=CC=C3,9.5,0.800334149865622,0.37,0.593517034999558
2,0.3854844559043116,O=C(C=1C=CC(C2=CC=CC=C2)=CC1)CCC(=O)NC=3C=CC(OC)=CC3,9.5,0.6064549337685673,0.23140495867768596,0.6280141384619501
3,0.46851110479749486,S(C=1N(C=2C(N1)=CC=CC2)C(OC3=CC=CC=C3)=O)C,8.9,0.6712550094975496,0.19444444444444445,0.6280141384619501
4,0.4748983113121865,O(C1=NC(=NC(=C1)C)NCC2=CC=CC=C2)C=3C=CC(=CC3)C(=O)C,10.5,0.6777356802811728,0.2222222222222222,0.6390585102119979
5,0.4581378168476035,ClC=1C(NC(=O)C=2C=CC(OC)=CC2)=CC(OCC3=CC=CC=C3)=C(Cl)C1,9.5,0.5641763420598157,0.1935483870967742,0.6390585102119979
6,0.46681084875107176,O1N=C(C=C1C=2C(C(=O)NCC3=CC=CC=C3)=CC=CC2)C,9.3,0.7993196128884676,0.20535714285714285,0.6390585102119979
7,0.47373374572975974,S(C=1N(C(C2=CC=CC=C2)C)C(=O)C3=C(N1)C=CC=C3)CC(=O)NC4=NOC(=C4)C,10.6,0.374091762948924,0.1984732824427481,0.6390585102119979
8,0.468208754321421,C1(=CC(C=2C=CC=CC2)=NC=3C1=CC=CC3)C(=O)O,8.5,0.7544966330543793,0.21153846153846154,0.6390585102119979
9,0.47251477209241016,S1C(C2=NC=3C(C(=C2)C(=O)NCC=4OC=CC4)=CC=CC3)=CC=C1CC,9.4,0.5404681091630036,0.1951219512195122,0.6390585102119979
10,0.46862585299945947,C=1C=CC=CC1C=2N=C(C3=C(N2)C=CC=C3)NC4=CC(C)=NN4,9.1,0.5983176505839904,0.20869565217391303,0.6390585102119977
11,0.445273006566714,FC1=CC=C(NC(=O)C2=C(N=C(N=C2)C3=CC=CC=C3)C4=CC=CC=C4)C=C1,10.1,0.5377210385244794,0.21428571428571427,0.6390585102119977
12,0.5968201050513939,S=C(NC(=O)C=1C=2C(N=C(C1)C=3C=CC=CC3)=CC=CC2)NNC(=O)C4=CC=C(OCCC)C=C4,10.0,0.2728091968001334,0.20279720279720279,0.6390585102119977
13,0.5333699081156291,O=C(NC=1N(C=2C(N1)=CC=CC2)C)C3=C(NC(=O)C=4OC=CC4)C=CC=C3,9.5,0.5810235041050784,0.20161290322580644,0.6675724605844696
14,0.5402881571637589,S(C(C1=CC=CC=C1)C(=O)NC=2C(OC)=CC=C(OC)C2)C3=CC=CC=C3,9.7,0.5750315817738925,0.18253968253968253,0.6675724605844696
15,0.4805838791439892,O=N(=O)C1=CC=C(C2=NC(N(CC3=CC=CC=C3)C)=C4C(=N2)C=CC=C4)C=C1,9.1,0.3711577941899275,0.23577235772357724,0.6675724605844696
16,0.6546158480969579,O=C(NC1=NNC=N1)C2=CC3=C(N(C(=C3C)C)CC4=CC=CC=C4)C=C2,10.3,0.592337147858599,0.2066115702479339,0.6675724605844696
17,0.5458003968734629,OC=1N2N=C(C(=C2N=C(C1CC(OCC)=O)C)C3=CC=CC=C3)C=4C=CC=CC4,8.6,0.5199251265714298,0.203125,0.6675724605844696
18,0.5262906828127449,O1C(CNC=2N(N=C(N2)C=3C=CC=CC3)C(=O)CC4=CC=C(OC)C=C4)=CC=C1,9.8,0.5144762338633091,0.21875,0.6675724605844696
19,0.5602384416093245,O1C=2C(C=C(C1=O)C(=O)N(C3=CC=CC=C3)CC)=CC=CC2OC,7.7,0.689872708788794,0.19827586206896552,0.6675724605844696
