Iteration,Acquisition Function Value,Chosen SMILES,Value of Chosen SMILES
0,0.2930439751071921,CCOc1ccc(S(=O)(=O)n2c(C)nc3ccccc32)cc1,0.4749391730236329
1,0.28593940475694263,CCOc1cccc(-c2nc3ccccc3n2C(=O)N(C(C)C)C(C)C)c1,0.34188032536651697
2,0.28295064265862796,Cc1ccc(S(=O)(=O)c2nc3ccccc3s2)cc1,0.5207392937941746
3,0.27080346340662925,Cc1ccc(S(=O)(=O)CCC(=O)Nn2cnc3ccccc32)cc1,0.5092144481917145
4,0.27468313483770596,CCCn1c(NC(=O)C=CNS(=O)(=O)c2ccc(C)cc2)nc2ccccc21,0.42658999674776443
5,0.2745157279240699,Cc1ccc(S(=O)(=O)CNCc2ccccc2)cc1,0.560102630305091
6,0.2650797902133412,CCN=C1SC(c2ccccc2)C(=O)N1S(=O)(=O)c1ccc(C)cc1,0.5212303076112099
7,0.2689902520912935,Cc1ccc(S(=O)(=O)Cn2c(C)cc3ccccc32)cc1,0.532221687416756
8,0.2691779855542923,Cc1ccc(-c2cc(CS(=O)(=O)c3ccccc3)nc(C)n2)cc1,0.5230063073864042
9,0.2721949309085302,Cc1ccc(S(=O)(=O)CC2=CCON=C2c2ccccc2Cl)cc1,0.5393174138997279
10,0.28088445719176575,Cc1ccc(S(=O)(=O)Cc2nc(-c3ccccc3)nn2C)cc1,0.5352803730779289
11,0.27561813019044423,Cc1ccc(S(=O)(=O)CC2=CCN(C(=O)c3ccccc3)O2)cc1,0.52654379754248
12,0.27823998724203836,Cc1ccc(S(=O)(=O)CSc2cc(C)c3ccccc3n2)cc1,0.4965930081061162
13,0.2762507340531037,CCOc1c(S(=O)(=O)c2ccc(C)cc2)c(C)nn1-c1ccccc1,0.5353095195989648
14,0.276682627843393,Cc1ccc(S(=O)(=O)CNC(=O)CC2SC(=O)N(c3ccccc3)C2=O)cc1,0.49644509054366565
15,0.27907745667945333,CSC1=C(CS(=O)(=O)c2ccc(C)cc2)ON=C(S(=O)(=O)c2ccccc2)O1,0.4741752716476046
16,0.27660159172095966,Cc1ccc(S(=O)(=O)C2CN(Cc3ccccc3)CC=N2)cc1,0.5349349502927677
17,0.2772328438517012,Cc1ccc(S(=O)(=O)Cc2ccccc2C(F)(F)F)cc1,0.624606034023472
18,0.25447109583928434,Cc1ccc(S(=O)(=O)Cc2ccc(-c3ccccn3)o2)cc1,0.52060245789574
19,0.25343882739092527,Cc1ccc(S(=O)(=O)N(CSCc2ccccc2F)C(F)F)cc1,0.4291116722498249
