Iteration,Acquisition Function Value,Chosen SMILES,Value of Chosen SMILES,f1,f2,f3
0,1.1220407794774518,Cc1ccc(CN2CCN(S(=O)(=O)CC(=O)Nc3ccc(Cl)cc3)CC2)cc1,0.4593690980446177,2.6,0.7781361328788257,0.2711864406779661
1,1.035104245474686,Cc1ccc(NC(=O)Cc2ccc(F)cc2)cc1,0.511962421544315,5.4,0.8799256778896706,0.2978723404255319
2,0.9355567322389976,Cc1ccc(C(=O)Nc2ccc(Cl)cc2)cc1,0.500711394592682,5.4,0.8542775874850097,0.29347826086956524
3,0.7220302203769469,Cc1ccc(NC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)cc1,0.558526095344977,5.4,0.9269413004244531,0.33653846153846156
4,0.5464708795355205,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)cc1,0.558526095344977,3.8,0.9269413004244531,0.33653846153846156
5,0.964755127720873,CC(=O)Nc1ccc(S(=O)(=O)SCc2ccc(C)cc2)cc1,0.5425621066753463,3.8,0.8484887259058532,0.3469387755102041
6,0.9598010652163592,Cc1ccc(NC(=O)C2=CCN(S(=O)(=O)c3ccc(F)cc3)CC2)cc1,0.5662158825480593,2.54,0.8943064504964696,0.3584905660377358
7,0.5295028295220398,Cc1ccc(NC(=O)c2ccc(F)cc2)cc1,0.5083413904326171,2.54,0.8398356499876408,0.3076923076923077
8,0.5920220393269934,Cc1ccc(NC(=O)C2=C(Cl)CN(S(=O)(=O)c3ccc(F)cc3)CC2)cc1,0.5433448708884773,2.54,0.8390566858381089,0.35185185185185186
9,0.5490980237631157,Cc1ccc(NC(=O)c2ccc(S(=O)(=O)F)cc2)cc1,0.58342196111273,5.8,0.8849910802424222,0.38461538461538464
10,0.5720442202731556,Cc1ccc(NC(=O)c2ccc(S(=O)(=O)Cl)cc2)cc1,0.5721304186372815,5.8,0.8857251725166627,0.3695652173913043
11,0.5871263424171166,Cc1ccc(NC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,0.6366802266618872,5.8,0.9042684322803638,0.4482758620689655
12,0.5958646256372295,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)Cl)cc2)cc1,0.5721304186372815,4.6,0.8857251725166627,0.3695652173913043
13,0.6361842195393269,Cc1ccc(NC(=O)C(=O)c2ccc(S(N)(=O)=O)cc2)cc1,0.527813312964502,4.6,0.6571793381414313,0.42391304347826086
14,0.5585581894633254,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)N3CCC(=O)C3)cc2)cc1,0.5580196917513129,4.6,0.9082090977815052,0.34285714285714286
15,0.6341934018325778,Cc1ccc(C(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,0.6366802266618872,6.0,0.9042684322803638,0.4482758620689655
16,1.159714161149244,Cc1ccc(S(=O)(=O)Nc2ccc(C(C)(C)C)cc2)cc1,0.590918205336964,6.0,0.927832636059292,0.3763440860215054
17,0.5611838218259898,Cc1ccc(NC(=O)c2ccc(S(=O)(=O)N3CCC(=O)C3)cc2)cc1,0.5580196917513129,7.9,0.9082090977815052,0.34285714285714286
18,0.8840616607943205,CC(=O)c1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1,0.5702820627833208,2.6,0.8800114724759047,0.3695652173913043
19,0.6565445578563163,Cc1ccc(NC(=O)c2ccc(S(C)(=O)=O)cc2)cc1,0.5907973668662636,2.6,0.9444653129424166,0.3695652173913043
