Iteration,Acquisition Function Value,Chosen SMILES,Value of Chosen SMILES
0,0.4552184348697508,Cc1ccc(CN2C(=O)CCC2(C)C(=O)NCc2cccnc2)cc1,0.4627471126840499
1,0.38490033059142675,Cc1ccc(SC(C)C(=O)NCc2cccnc2)cc1,0.44506275510927495
2,0.3780272848055789,Cc1ccc(-n2nc(-c3ccco3)cc2C(=O)NCc2cccnc2)cc1,0.439303358194609
3,0.4321953647130339,Cc1ccc(S(=O)(=O)N2CCC(C(=O)NCc3cccnc3)CC2)cc1,0.49650494491004044
4,0.7354261002572925,CCOc1ccc(N2C(=N)C(C(=O)NCc3cccnc3)SC2=S)cc1,0.39354343481244725
5,0.5622696693704139,Cc1ccccc1C=S(O)(O)=Cc1ccc(C(=O)NCc2cccnc2)o1,0.3360785590789169
6,0.6292132558242036,Cc1ccc(CNC(=O)C2CCCN2C(=O)NCc2ccccc2)cc1,0.44425956432312985
7,0.39485032167956197,Cc1ccc(OCC(=O)N2CCN(C(=O)Cc3ccccc3)CC2)cc1,0.43384246836296925
8,0.4948806210943378,Cc1ccc(-c2nc(N)n(C(=O)Cc3ccccc3)n2)cc1,0.523216951649402
9,0.409758874241863,Nc1nc(-c2cccnc2)nn1C(=O)Cc1ccccc1,0.3974046281066284
10,0.6578609472945786,Cc1ccc(NC(=O)NCCCc2ccccc2)cc1,0.43761012594250887
11,0.39296960308388895,Nc1nc(-c2ccccc2)nn1C(=O)Cc1ccccc1,0.4103618590951291
12,0.4883469197084865,CSc1nc(-c2ccccc2)nn1C(=O)c1ccc(C)cc1,0.45660513499914984
13,0.4128679631189294,CCC(=O)n1nc(-c2ccccc2)nc1SCC(=O)Nc1ccc(C)cc1,0.42454643118837493
14,0.45520080439035826,CCC(=O)n1nc(-c2ccc(Cl)cc2)nc1NCc1ccccc1,0.43401429283209264
15,1.04421940558467,COCC(=O)Oc1c(S(=O)(=O)c2ccc(C)cc2)c(C)nn1-c1ccccc1,0.4738592387984482
16,0.9777457991645265,Cc1ccc(C(=O)Nc2c(C#N)c(C)c(C)n2Cc2ccccc2)cc1,0.4358444075332111
17,0.6167596749395541,Cc1ccc(C(=O)OCCc2c(C)nn(-c3ccccc3)c2O)cc1,0.4771627252229109
18,0.6230063231953875,Cc1ccc(C(=O)N2CCCC(c3ccccc3)=N2)cc1,0.4820187274181902
19,0.4189901217537346,Cc1ccc(NC(=O)CSc2nc(C)c(Cc3ccccc3)c(O)n2)cc1,0.3482603175959428
