Iteration,Chosen SMILES for Dockstring-MPO,f1,f2,f3
0,OC=1N(C(NC=2C=C(C(=CC2)C)C)=C3N=CC=CC31)C=4C(=CC=CC4)C,8.9,0.5234869496305166,0.20833333333333334
1,BrC=1C=C2C(NC3=C4C(=CC=C3)C=CC=C4)=NC=NC2=CC1,9.9,0.5338364401526323,0.20353982300884957
2,FC(F)(F)C=1N=C(N2CCN(CC2)C3=CC=CC=C3)N=C(C1)C4=CC(OC)=CC=C4,9.8,0.629009129256961,0.28688524590163933
3,N(C1=CC=CC=C1)(C2=CC=CC=C2)C=3N=C(N4C=CN=C4)N=C(N3)NCC=C,9.1,0.4940863939625904,0.14925373134328357
4,S1C2=C(N(C(C(=O)N3C=4C(CC3)=CC=CC4)=C2)CC5=CC=C(F)C=C5)C=C1,9.8,0.48869499444125364,0.20967741935483872
5,O(C1=C(C(OC)=O)C=CC=C1)CCCOC2=C(OC)C=C(C=C2)C=O,7.8,0.39530647397576685,0.16393442622950818
6,O(C1=CC(C(=O)NC=2C=CC(N3CCN(CC3)C)=CC2)=CC=C1)CC4=CC=CC=C4,10.6,0.6700329628710796,0.2230769230769231
7,O1C2=C(OC1)C=CC(NC(=O)C3=C4N(N=C3)C(=CC(=N4)C)C)=C2,8.7,0.7857474585469407,0.16101694915254236
8,BrC=1C=C(C=2OC3=C(N2)C=C(N)C=C3)C(Cl)=CC1,8.1,0.6711285555980657,0.18446601941747573
9,S1C(NC(=O)C2=NC=3C(C=C2)=CC=CC3)=NN=C1C(CC)CC,8.5,0.7611333506649944,0.15126050420168066
10,ClC1=CC=C(S(=O)(=O)NC2=NC=3C(N=C2[N+]4=CN(C=C4)CCC(C)C)=CC=CC3)C=C1,9.5,0.42226578408225385,0.25196850393700787
11,OC=1N(C2CCCC2)C=C(C1)C(O)NCCN3CCN(CC3)CC4=CC=CC=C4,9.0,0.5969958586874847,0.09859154929577464
12,C=1C=C(C2=CC(=C(S2)NC(=O)N)C(=O)N)C=CC1F,7.4,0.8017404583515643,0.21782178217821782
13,O(C=1C(OC)=CC=C(CC(=O)NC2=CC=3C(=NC(N4CCN(CC4)CC)=CC3C)C=C2)C1)C,9.3,0.5917124066719235,0.1619718309859155
14,ClC1=C(CC(=N)NOC(=O)C=2SC=CC2)C=CC(Cl)=C1,7.9,0.5093409402604752,0.13392857142857142
15,ClC=1C=CC(C(=O)N2/C(=N/C3=CC=C(OC)C=C3)/C(/N(C2=S)C4=CC=CC=C4)=N/C5=CC=C(OC)C=C5)=CC1,7.5,0.23855052522047787,0.17307692307692307
16,S(CC1=NOC(=C1C(=O)NCCCN2CCOCC2)C(=O)NCC3=CC=CC=C3)C4=CC=C(F)C=C4,10.4,0.29992551903614606,0.17333333333333334
17,S(C1=NC(/C(=N\NC=2C=CC=CC2)/C)=CN=N1)C,7.7,0.5188114569820039,0.11818181818181818
18,S1C(C(=O)N2CCN(CC2)C)C(N(C1=S)C3=CC=CC=C3)=N,7.0,0.8335818375785536,0.11764705882352941
19,ClC1=C(N2C(=O)C3=C(NC2=S)C=CC=C3)C=C(OC(C)C)C(Cl)=C1,8.3,0.6391768037793402,0.15126050420168066
