Experiment,BO Iteration,EHVI-MPO-F1,EHVI-MPO-F2,EHVI-MPO-F3
Experiment 1,1,1.0,1.0,0.20442359249329758
Experiment 1,2,9.977275509010252e-06,1.0,0.2435064935064935
Experiment 1,3,0.28656769156554224,1.0,0.1388888888888889
Experiment 1,4,1.0,1.0,0.18971631205673758
Experiment 1,5,1.0,1.0,0.13868876080691644
Experiment 1,6,1.0,0.6708758878936812,0.16059027777777776
Experiment 1,7,1.0,1.0,0.14912868632707774
Experiment 1,8,1.0,1.0,0.18962848297213622
Experiment 1,9,0.0002961985652493507,0.9536459433338262,0.17481203007518795
Experiment 1,10,0.610169799935433,0.9241471932252744,0.1920391061452514
Experiment 1,11,0.7727791316553481,0.8856130118512632,0.17006802721088438
Experiment 1,12,1.0,0.6222120239560909,0.1225769669327252
Experiment 1,13,1.0,1.0,0.20200276243093923
Experiment 1,14,0.9990324683608633,1.0,0.1421232876712329
Experiment 1,15,0.7474525156119488,1.0,0.109375
Experiment 1,16,1.0,1.0,0.1072961373390558
Experiment 1,17,1.0,0.9408840142160235,0.1633627019089574
Experiment 1,18,1.0,1.0,0.20101351351351351
Experiment 1,19,0.9024838352642942,1.0,0.13358778625954199
Experiment 1,20,0.3116531214170377,0.5612451283294247,0.12468827930174564
Experiment 2,1,0.41955443494638545,1.0,0.18338954468802698
Experiment 2,2,0.19121047391022597,0.8372705692311369,0.13669501822600244
Experiment 2,3,0.05272118035011067,1.0,0.20141196013289037
Experiment 2,4,0.17502184224824216,1.0,0.20254629629629628
Experiment 2,5,0.7705567295513343,1.0,0.38461538461538464
Experiment 2,6,1.0,1.0,0.10207496653279786
Experiment 2,7,0.0011337273893219438,1.0,0.36558669001751315
Experiment 2,8,1.0,1.0,0.22996057818659657
Experiment 2,9,1.0,1.0,0.14817629179331307
Experiment 2,10,1.0,1.0,0.2162247474747475
Experiment 2,11,1.0,1.0,0.20200276243093923
Experiment 2,12,1.0,1.0,0.2060099132589839
Experiment 2,13,0.9399280022524175,1.0,0.15601783060921248
Experiment 2,14,0.026690915898163428,1.0,0.26879699248120303
Experiment 2,15,1.0,1.0,0.2910132689987937
Experiment 2,16,0.009549657395020316,1.0,0.18788343558282208
Experiment 2,17,7.418567824137633e-11,0.9917268077885294,0.21351575456053068
Experiment 2,18,1.0,1.0,0.24002954209748892
Experiment 2,19,1.0,1.0,0.19547325102880658
Experiment 2,20,1.0,0.9833769090599265,0.1723638470451912
Experiment 3,1,8.861240817353225e-14,0.9217076206309894,0.3282122905027933
Experiment 3,2,1.0,0.8222690056345846,0.2821011673151751
Experiment 3,3,1.0,1.0,0.2122641509433962
Experiment 3,4,9.315183012715708e-07,1.0,0.20710059171597633
Experiment 3,5,0.8266742955879425,1.0,0.20174708818635606
Experiment 3,6,1.0,1.0,0.22444751381215472
Experiment 3,7,1.0,1.0,0.2910132689987937
Experiment 3,8,0.9473179478111643,0.1478148828004396,0.30287817938420347
Experiment 3,9,1.0,1.0,0.2037712895377129
Experiment 3,10,1.0,1.0,0.17881705639614856
Experiment 3,11,0.012701788101939898,1.0,0.16881028938906753
Experiment 3,12,1.0,1.0,0.25459921156373194
Experiment 3,13,1.0,1.0,0.18719806763285024
Experiment 3,14,1.0,1.0,0.15163297045101087
Experiment 3,15,1.0,1.0,0.19779507133592736
Experiment 3,16,1.0,0.8166844572181431,0.29557463672391016
Experiment 3,17,1.0,1.0,0.1624015748031496
Experiment 3,18,1.0,1.0,0.17339939024390244
Experiment 3,19,1.0,1.0,0.22194821208384707
Experiment 3,20,1.0,1.0,0.08235724743777453

