Experiment,BO Iteration,EHVI-MPO-F1,EHVI-MPO-F2
Experiment 1,1,0.05982905982905983,0.1353352832366127
Experiment 1,2,0.022900763358778626,0.1353352832366127
Experiment 1,3,0.072992700729927,0.1353352832366127
Experiment 1,4,0.06363636363636363,0.1353352832366127
Experiment 1,5,0.13008130081300814,1.0
Experiment 1,6,0.12307692307692308,1.0
Experiment 1,7,0.06611570247933884,1.0
Experiment 1,8,0.09821428571428571,0.1353352832366127
Experiment 1,9,0.02702702702702703,1.0
Experiment 1,10,0.04424778761061947,0.1353352832366127
Experiment 1,11,0.16666666666666666,1.0
Experiment 1,12,0.1037037037037037,0.1353352832366127
Experiment 1,13,0.14782608695652175,1.0
Experiment 1,14,0.10852713178294573,1.0
Experiment 1,15,0.18518518518518517,0.1353352832366127
Experiment 1,16,0.16666666666666666,1.0
Experiment 1,17,0.12727272727272726,1.0
Experiment 1,18,0.13114754098360656,1.0
Experiment 1,19,0.10606060606060606,1.0
Experiment 1,20,0.10294117647058823,1.0
Experiment 2,1,0.07352941176470588,1.0
Experiment 2,2,0.1323529411764706,1.0
Experiment 2,3,0.08264462809917356,1.0
Experiment 2,4,0.05755395683453238,0.1353352832366127
Experiment 2,5,0.048,1.0
Experiment 2,6,0.11851851851851852,1.0
Experiment 2,7,0.09523809523809523,0.1353352832366127
Experiment 2,8,0.049586776859504134,1.0
Experiment 2,9,0.11570247933884298,0.1353352832366127
Experiment 2,10,0.13953488372093023,1.0
Experiment 2,11,0.1258741258741259,0.1353352832366127
Experiment 2,12,0.07258064516129033,1.0
Experiment 2,13,0.16666666666666666,0.1353352832366127
Experiment 2,14,0.06060606060606061,1.0
Experiment 2,15,0.11538461538461539,1.0
Experiment 2,16,0.05785123966942149,1.0
Experiment 2,17,0.025423728813559324,1.0
Experiment 2,18,0.07352941176470588,1.0
Experiment 2,19,0.11290322580645161,1.0
Experiment 2,20,0.024390243902439025,1.0
Experiment 3,1,0.06338028169014084,0.1353352832366127
Experiment 3,2,0.06923076923076923,0.1353352832366127
Experiment 3,3,0.08333333333333333,1.0
Experiment 3,4,0.05970149253731343,0.1353352832366127
Experiment 3,5,0.10240963855421686,1.0
Experiment 3,6,0.08771929824561403,1.0
Experiment 3,7,0.11258278145695365,0.1353352832366127
Experiment 3,8,0.1694915254237288,1.0
Experiment 3,9,0.04132231404958678,1.0
Experiment 3,10,0.10317460317460317,1.0
Experiment 3,11,0.07462686567164178,1.0
Experiment 3,12,0.09420289855072464,1.0
Experiment 3,13,0.09701492537313433,0.1353352832366127
Experiment 3,14,0.14788732394366197,1.0
Experiment 3,15,0.14705882352941177,1.0
Experiment 3,16,0.09836065573770492,1.0
Experiment 3,17,0.15555555555555556,1.0
Experiment 3,18,0.08461538461538462,1.0
Experiment 3,19,0.072992700729927,1.0
Experiment 3,20,0.10218978102189781,0.1353352832366127
