Iteration,Acquisition Function Value,Chosen SMILES,f1,f2,f3,Hypervolume
0,0.5319551936699152,BrC=1C(=NN(C1)CC2=CC(C(=O)NC3=C(C=CC=C3)C)=CC=C2)N(=O)=O,10.1,0.5005795133500651,0.23076923076923078,0.5285157389099455
1,0.5437025558996658,ClC=1C=CC(C(=O)NC=2SC=C(N2)C=3SC=CC3)=CC1,7.6,0.7544156944067114,0.1834862385321101,0.5285157389099455
2,0.5158915259316436,S1C(C2=NC=3C(C(=C2)C(=O)NCC=4OC=CC4)=CC=CC3)=CC=C1C,9.3,0.576504152272419,0.21008403361344538,0.5295522545972703
3,0.5980045235053596,CC1=CC=C(NC(=O)C2=CC(=CC=C2NCC=3C=CC=NC3)N(=O)=O)C=C1Cl,10.3,0.45969159790927916,0.20967741935483872,0.5319584828187391
4,0.6001359565919493,ClC=1N=C2C(=C(C(=O)NC3=CC=C(C=C3)C)C1)C=CC=C2,9.9,0.70994638630793,0.297029702970297,0.6031935203235739
5,0.6975506456975543,O(C(=O)C1=C2CCCCC2=NC=3C1=CC=CC3)CC(=O)NC4=CC=C(OC)C=C4,10.0,0.6683972233335009,0.183206106870229,0.6054820643877628
6,0.6736078204351946,O1N=C(N=C1CCC2=CC=CC=C2)C3=CC=C(NC(=O)C=4C=CC=NC4)C=C3,10.9,0.5508709361533872,0.2125984251968504,0.6285960458117604
7,0.7877987842918988,ClC=1C(C(=O)NN2C(=NC3=C(C2=O)C=CC=C3)C)=CC=CC1,9.1,0.7909253203445992,0.22018348623853212,0.6463063459167848
8,0.7508379614938886,O=C1N2CCCC2=NC3=C1C=C(NC(=O)C=4C(=CC=CC4)C)C=C3,9.2,0.7897167497788653,0.20689655172413793,0.6467662989143983
9,0.8017699807263319,ClC1=CC(C=2N=C3C(=C(C2)C(=O)NNC(=O)NC4=CC=CC=C4)C=CC=C3)=CC=C1Cl,10.2,0.35094855204718667,0.20300751879699247,0.6467662989143983
10,0.8374653405549007,ClC=1C(NC(=O)C=2C=CC(OC)=CC2)=CC(OCC3=CC=CC=C3)=C(Cl)C1,9.5,0.5641763420598157,0.1935483870967742,0.7040091587270765
11,0.9203070426071607,O1CCN(CC1)C2=C(N(=O)=O)C=C(C=C2)C(=O)NC=3C=CC(C=4OC=5C(N4)=CC=CC5)=CC3,8.3,0.3565302883347908,0.22794117647058823,0.7040091587270764
12,0.8767034545677785,O=C(NC1=CC=C(N2CCN(CC2)CC)C=C1)C=3C=4C(=NC=CC4)C=CC3,9.2,0.7718495221384964,0.22950819672131148,0.7066658495536771
13,0.8116942252387623,O=C(N1N=C(N=C1N)C=2C=CC(=CC2)C)CC3=CC=CC=C3,10.0,0.8051646426273312,0.34,0.8665476089380446
14,0.880034587961724,O=C1N(NCC2=CC=C(OC)C=C2)C(=NC3=C1C=CC=C3)C,8.5,0.803054878605798,0.22935779816513763,0.8782121937452371
15,0.9530566902030013,ClC1=CC=C(CNC(=O)C=2SC3=NNC(=C3C2)C4=CC=CC=C4)C=C1,9.7,0.5399990799201326,0.21008403361344538,0.8782121937452371
16,0.8597838691664846,ClC=1C=CC(NC(=O)CN2C=3C(N=C2CSC4=CC=C(C=C4)C)=CC=CC3)=CC1,10.4,0.39233440319493396,0.2601626016260163,0.8795657598719433
17,0.9688084324280942,ClC1=C(N(=O)=O)C=C(NC(=O)CC(C2=CC=CC=C2)C)C=C1,9.2,0.6564384954537664,0.17857142857142858,0.8795657598719433
18,0.9398273512480221,O=C1N(C(=C(C(=N1)NCC2=CC=CC=C2)C(=O)C)C)C3=CC=CC=C3,9.2,0.7273343772822195,0.22413793103448276,0.8795657598719433
19,1.0307208365708935,O=C(N1CCN(C2=CC=CC=C2)CC1)CNC3=CC=C(C=C3)C(=O)C,9.2,0.8524577050244148,0.19166666666666668,0.8933016853381236
