Iteration,Acquisition Function Value,Chosen SMILES,f1,f2,f3,Hypervolume
0,0,BrC=1C=CC(C(=O)COC(=O)CSCC(=O)NC=2SC=3C(N2)=CC=C(C3)C)=CC1,7.5,0.36846013198928285,0.21428571428571427,0.5825689320756542
1,0,C1=C(C(=CC=C1)C(=O)/C=C/C2=CC=C(C=C2)OC)O,8.6,0.6723156704362758,0.19047619047619047,0.5825689320756542
2,0,ClC1=CC=C(C(NOC)C=NC(=O)C2=CC(Cl)=CC=C2)C=C1,8.7,0.6601887867252546,0.1875,0.5825689320756542
3,0,ClC1=CC=C(CN2C(=O)C=3N(C(N4CCN(CC4)C5=NC=CC=C5)=NC3N(C2=O)C)C)C=C1,8.4,0.4573642463750702,0.1702127659574468,0.5825689320756541
4,0,C=1(N=C(N)C=2C(N1)=CC(OC)=C(C2)OC)N3CCN(C(C4OC=5C=CC=CC5OC4)=O)CC3,8.4,0.633464073435693,0.136986301369863,0.5825689320756541
5,0,FC1=CC=C(N2C(O)=C(N3CCN(C=4C=C(O)N(C4O)C5=CC=C(F)C=C5)CCC3)C=C2O)C=C1,7.8,0.3500546987267828,0.21428571428571427,0.5825689320756541
6,0,FC(F)(F)C=1C=C(NC(=O)C=2C=C3N=C(C(=NC3=CC2)C=4OC=CC4)C=5OC=CC5)C=CC1,11.3,0.34239436619345737,0.23880597014925373,0.5977559620977466
7,0,O=C(NCC1CC1)[C@@H]([C@H]2[C@@](C2)([C@@H](NC(OCC3=CC=CC=C3)=O)C4=CC=CC=C4)C)C,9.5,0.6097896244713855,0.1276595744680851,0.5992074944900146
8,0,ClC=1C(N2CCN(CC2)C(=O)CCC)=CC=C(NC(=O)C=3OC=4C(C3)=CC=CC4)C1,8.6,0.6379923616001559,0.17164179104477612,0.5992074944900148
9,0,O1C(CN(C(C(=O)NC2CCCC2)C=3C=CC=NC3)C(=O)CCC(=O)NC4=NOC(=C4)C)CCC1,9.2,0.5319348749372013,0.09554140127388536,0.5992074944900148
10,0,S1C(C=2N(C(=CC2)CCC(O)=O)CC(=O)NC3=C(OC)C=CC(OC)=C3)=CC=C1,8.2,0.5544504096276542,0.1953125,0.5992074944900148
11,0,ClC1=C(CN2C=3C(N=C2C4=CC=CN=C4Cl)=CC=CC3)C=CC(Cl)=C1,9.4,0.39654889674311755,0.19166666666666668,0.5992074944900148
12,0,[C@@H]1(C(N(C=2C=CC=CC2S[C@H]1C3=CC=C(C=C3)OC)CCN(C)C)=O)OC(=O)C,7.3,0.6757916364888924,0.17829457364341086,0.5992074944900148
13,0,S(C1=NC(=CC(=C1C#N)C(F)(F)F)C=2OC=CC2)CC3=CC=NC=C3,8.5,0.6173840124051874,0.23478260869565218,0.6049295532388613
14,0,FC(F)(COC1=C(C=C(NC(=O)C2=CC(OC)=C(OC)C=C2)C=C1)C(F)(F)F)C(F)F,9.4,0.5525889441585562,0.2125984251968504,0.6069753543964772
15,0,S(C1=NC(=NC2=C1OC3=C2C=CC=C3)CC)CC(=O)NCCC4=CC=CC=C4,10.2,0.373771432475098,0.16793893129770993,0.6069753543964772
16,0,ClC1=CC=C(OC(=O)C2=NN(C=C2)CC)C=C1,6.8,0.621519609400778,0.19,0.6069753543964772
17,0,ClC1=CC=C(C(=O)NC2=NC=3C4=C(CCC3C=N2)C=CC=C4)C=C1,9.8,0.7651099288571664,0.19491525423728814,0.6277297378990422
18,0,S=C(NC=1C=C2C(OC(=O)C=C2)=CC1)NC(=O)C3=CC(OC)=C(OC)C(OC)=C3,8.7,0.48571908242699846,0.16030534351145037,0.6277297378990422
19,0,S1C(C=2N=C(ON2)C3CCCN(C3)C(=O)CC4=CC=CC=C4)=CC=C1,9.5,0.7166968817906254,0.14173228346456693,0.6277297378990422
