Iteration,Acquisition Function Value,Chosen SMILES,f1,f2,f3,Hypervolume
0,0,C1(N(C(=NCCCN2CCN(CC2)C=3C(OC)=CC=CC3)CC(N1C)=O)C)=O,8.7,0.6925562641044329,0.1111111111111111,0.5151600923735139
1,0,ClC=1N=C2N=C(NC2=NC1Cl)C(=O)O,6.2,0.7750782289527238,0.06862745098039216,0.5203325247930346
2,0,ClC=1C=C(CN=C2CC(CC(=O)C2)(C)C)C=CC1Cl,8.9,0.7768893658949498,0.11818181818181818,0.5207603636579033
3,0,S(=O)(=O)(NC1=NOC(=C1)C)C2=CC=C(NC(=O)C=3C=4C(N=C(C3)C5=NC=CC=C5)=C(C=C(C4)C)C)C=C2,12.6,0.31685515577461176,0.23076923076923078,0.6710507398990874
4,0,O(C(=O)C1=CC=C(NC(=O)C2=C(O)NC(=O)NC2=O)C=C1)CC,8.0,0.5930308664949901,0.1452991452991453,0.6710507398990874
5,0,O1C(CCC1)CNC(=O)C2C(N(C(=O)C3=C2C=CC=C3)C)C=4C=5C(NC4)=CC=CC5,8.2,0.7014157552630518,0.17037037037037037,0.6710507398990874
6,0,O=C1C(C(NC(C1C)C=2C(O)=C(OC)C=CC2)C3=C(O)C(OC)=CC=C3)C,7.7,0.7639705373022028,0.14173228346456693,0.6710507398990874
7,0,S(=O)(=O)(NC=1C=C(OC)C=CC1)C2=C(OC)C=CC(=C2)C,7.3,0.9222562421479077,0.2524271844660194,0.7291100240489411
8,0,S1C=2NC(=S)N(C(=O)C2C(=C1C(=O)N(CC)CC)C)C3=CC=CC=C3,8.0,0.7057948864741783,0.15702479338842976,0.7291100240489411
9,0,O1C(CNC=2N3C(=NC=4C3=CC=CC4)C(=C5C2CCC5)C#N)=CC=C1,8.4,0.6158791253823515,0.14173228346456693,0.7291100240489411
10,0,O(C1=C(CN2C3=NC=4C(N=C3C(=C2N)C#N)=CC=CC4)C=CC=C1OC)C,7.4,0.6009798564935085,0.16535433070866143,0.7291100240489411
11,0,O(C=1C(OC)=CC(CNC2=CC=3N=C(O)NC3C=C2)=CC1)CC(=O)NC(C)(C)C,9.0,0.48677561432244015,0.16030534351145037,0.7291100240489411
12,0,ClC=1C=C(N2CCN(C(=O)C3CCN(C=4SC(N5C=CC=C5)=NN4)CC3)CC2)C(=CC1)C,9.5,0.5792232914865107,0.1388888888888889,0.7291100240489411
13,0,S(=O)(=O)(N1CCCC1)NC=2C=CC(=CC2)CC3=CC=NC=C3,8.9,0.9210156777209682,0.21621621621621623,0.7606881696720615
14,0,O=C(N1C(=NN=C1)N)C=2C=CC(=CC2)C,7.0,0.7437435126399047,0.24175824175824176,0.7606881696720614
15,0,S1C=2N(N=C(C2C=C1C=3N(C(SC)=NN3)C)C=4C=CC=CC4)C,8.2,0.5316092720905811,0.17094017094017094,0.7606881696720614
16,0,O=C(NC1CCCC1)C(N(C2=C(C=CC(=C2)C)C)C(=O)CCC(=O)NC3=NOC(=C3)C)C=4OC=CC4,9.2,0.4453029591448797,0.1610738255033557,0.7606881696720614
17,0,S(=O)(=O)(N1N=C(C=2SC(=NC2)C=3C=CC=CC3)C=C1)C4=CC=C(F)C=C4,9.9,0.5315961199261684,0.3153153153153153,0.8282396683816473
18,0,O=C1NC2=C(N(C1(C)C)C(=O)COC(=O)CN3C(=O)C4=C(N=C3)C=CC=C4)C=CC=C2,10.2,0.6435437921276203,0.1791044776119403,0.8402021128879872
19,0,C1=C(N=C(SCC2=CC=C(C=C2)OC)N=C1C)O,7.5,0.6779677954469948,0.17307692307692307,0.8402021128879871
