Iteration,Acquisition Function Value,Chosen SMILES,f1,f2,f3,Hypervolume
0,0,ClC1=CC=C(OCC=2N(CC)C(SCC3=CC=C(C=C3)C#N)=NN2)C=C1,8.1,0.5525006335763665,0.2066115702479339,0.3305849402435267
1,0,S(C=1N(C(=NN1)C=2OC=CC2)C)CC(=O)C=3C=CC(=CC3)C,8.6,0.5337434561321012,0.24074074074074073,0.3305849402435267
2,0,S=C(N1CCOCC1)CC2=CC=C(OC)C=C2,7.0,0.7648552815815437,0.1111111111111111,0.354936741919686
3,0,S(C=1N(CCCN2CCCCC2)C(=O)C3=C(N1)C=CC=C3)CC(=O)NCC4=CC=CC=C4,10.5,0.3979134525003841,0.15384615384615385,0.3597168835650663
4,0,S(C1=NC(O)=CN=N1)CCCCC,5.8,0.5790790799303561,0.04854368932038835,0.6660764741009677
5,0,O1C2=C(C(=O)C(=C1C)C3=CC=CC=C3)C=CC(OC)=C2,7.9,0.7083058355664994,0.21904761904761905,0.6700250592674588
6,0,S1C(=NC(C=2C=C(N(=O)=O)C=CC2)=C1)NC(=O)C(OC(=O)C=3C=CC(F)=CC3)C,10.2,0.3694308466784759,0.22580645161290322,0.6751707767589704
7,0,O1C2=C(C=C(C=3N=C4N(C3)C=C(C=C4)C)C1=O)C=CC=C2OCC,8.3,0.5385701662823174,0.22807017543859648,0.6751707767589704
8,0,S1C=2C(N=C1COC(=O)CC=3N=C4SC=CN4C3)=CC=CC2,7.0,0.539162276383389,0.14285714285714285,0.6751707767589704
9,0,S1C(=C(N=C1NCC2OCCC2)C)C(OCC)=O,7.2,0.8312769490200597,0.06086956521739131,0.6751707767589704
10,0,O=C\1NN=C(/C1=C/C=2C(=NN(C2)C3=CC=CC=C3)C=4C=CC=CC4)C,10.2,0.7489244920635554,0.23076923076923078,0.7196913115894769
11,0,BrC1=CC=C(N2C(=O)C=3N(N=C(C3C2=O)C(OC)=O)C45CC6CC(C4)CC(C5)C6)C=C1,9.2,0.48302742176641705,0.16911764705882354,0.7196913115894769
12,0,S1C(=NN2C1=NC(=O)C=C2C(OC)=O)C=3C=CC(F)=CC3,7.7,0.6743034947868132,0.25,0.726849889884052
13,0,O=C1N(N=C(C=2C1=CC=CC2)C(=O)NC3CCCCC3)C,9.1,0.9175209608519672,0.1391304347826087,0.7601337278222191
14,0,ClC1=CC=C(OC=2C3=C(SC(=C3)C=4OC(=NN4)N)C=NC2)C=C1,8.7,0.5932704598029149,0.1694915254237288,0.7601337278222191
15,0,O1C=2C(N=C1C3=CC(=CC=C3)C)=CC(NC(=O)CC)=CC2,9.2,0.7836573998777355,0.22429906542056074,0.7665516465736714
16,0,FC1=CC(COC=2C(OC)=CC(C3C4C(N(NC=5C=CC=CC5)C(=N)C3C#N)=CC(CC4=O)(C)C)=CC2)=CC=C1,9.9,0.3584901480814192,0.16455696202531644,0.7665516465736714
17,0,S1C(N(C(=O)CC=2C(OC)=CC=CC2)CC)=NN=C1C=3C=CN=CC3,8.4,0.6798508329472887,0.1721311475409836,0.7665516465736714
18,0,S(CC(=O)NC=1OC(=C(C1C#N)C2=CC=CC=C2)C3=CC=CC=C3)C4=NC=CC=C4,9.9,0.4171978344401561,0.16911764705882354,0.7665516465736714
19,0,ClC1=CC=C(OC(N2N=CN=C2)C(O)C(C)(C)C)C=C1,7.4,0.9419547528114277,0.14545454545454545,0.7769487641331606
