Iteration,Acquisition Function Value,Chosen SMILES,f1,f2,f3,Hypervolume
0,0.3273753050565776,C1COCCN1CCCOC=2C=C3C(=CC2OC)C(=NC=N3)NC4=CC=C(C=C4)NC(=O)C=5C=CC=CC5,9.2,0.2937505312088911,0.16560509554140126,0.5825689320756543
1,0.29033443386569086,N1=CN=C(C2=CC(=C(C=C12)OC)OC)NC=3C=CC(=CC3)OCC=4C=CC=CC4,9.5,0.48296913075609615,0.18181818181818182,0.5825689320756543
2,0.29908367019332444,O1C2=C(C(=O)C(=C1C)C3=CC=CC=C3)C=CC(OC)=C2,7.9,0.7083058355664994,0.21904761904761905,0.5846369700170594
3,0.35018031183590614,C1=CC=C(C=2C=CC(=CC2)NC(=O)NC3=CC=CC=C3)C=4C(N)=NNC41,8.9,0.44217801733104417,0.2457627118644068,0.5846369700170594
4,0.38278341449234304,S1C=2N=CN=C(NC=3C=CC(OC)=CC3)C2C=C1C4=CC=CC=C4,8.3,0.5635452787010606,0.21367521367521367,0.5852731807863595
5,0.45007070108307706,O=C(NC=1C=C2C(C3=CC=CC=C3)=CNC2=NC1)C=4C=CC(OC)=CC4,9.3,0.5735499588823888,0.21487603305785125,0.5885263539129348
6,0.3666743623362857,O=C(C1=C(C=2C(N=C1)=CC=CC2)C3=CC=CC=C3)C4=CC=C(OC)C=C4,9.2,0.48321491256828975,0.225,0.5888663439371896
7,0.404101565226517,O=C(NC=1C=C(C=2N=C3C(=NC2)C=CC=C3)C=CC1)C=4C=CC(=CC4)C,10.2,0.5799086217486268,0.2894736842105263,0.6409588857211516
8,0.42261111957807757,O=C1N=C(N(C(C2=CC=CC=C2)=C1)C3=CC=C(C=C3)C)C,7.7,0.7175378040100042,0.39361702127659576,0.7440460790290954
9,0.4552133526250766,N1=CC=C2SC=C(C=3C=CC(=CC3)NC(NC4=CC(=CC=C4)C)=O)C2=C1N,9.2,0.44295660620277,0.27350427350427353,0.7758658330161495
10,0.46173804420734094,ClC=1N=C2C(=C(C(=O)NC3=CC=C(C=C3)C)C1)C=CC=C2,9.9,0.70994638630793,0.297029702970297,0.8271943679185648
11,0.4125834407137979,O=C1C(C(=O)C=2C1=CC=CC2)C(=O)C3=CC=C(C=C3)C,8.8,0.618732353476418,0.2828282828282828,0.8271943679185647
12,0.5548873223383939,ClC=1C=2N=C(C=C(C2C=CC1)C(=O)NC3=CC(OC)=CC=C3)C=4C=CC=NC4,9.5,0.5199369489063934,0.1968503937007874,0.8271943679185647
13,0.4966901302337456,S1C(NC(=O)C=2C=3C(N=C(C2)C4=CC(OC)=CC=C4)=CC=CC3)=NC=5C1=CC=CC5,10.5,0.40756889142804076,0.19548872180451127,0.8272688152000346
14,0.5441142087624637,O=C1N(N=C(C=2C1=CC=CC2)C3=CC=C(C=C3)C(=O)NC=4C=CC=NC4)C,9.3,0.6112512262063469,0.2627118644067797,0.8272688152000346
15,0.5357714478774613,S1C(NC(=O)C=2C=3C(N=C(C2)C=4C(=CC=C(C4)C)C)=CC=CC3)=NC=C1,9.8,0.5449673311428882,0.21666666666666667,0.8272688152000346
16,0.4956582916065608,O1C=2C(OC1)=CC=C(C2)C(=O)NC3=CC=C(C4=NC=5C(N4)=CC=CC5)C=C3,9.8,0.5757802329178553,0.23770491803278687,0.8272688152000346
17,0.5198018553943485,O1C(=C(OC(=O)C=2C=CC(=CC2)C)C(=O)C3=C1C=CC=C3)C4=CC=C(OC)C=C4,9.0,0.46209258182565693,0.2833333333333333,0.8272688152000346
18,0.6041095012981278,S1C(=NC=2C1=CC=CC2)C=3C=C(NC(=S)NC(=O)C=4C=CC(=CC4)C)C(=CC3)C,10.7,0.4195122450499882,0.2833333333333333,0.8412579683524134
19,0.6376899737743531,ClC=1C=2C(SC1C(=O)NC3=C(C=CC(C=4NC=5C(N4)=CC=CC5)=C3)C)=CC=CC2,10.6,0.34456373904760534,0.2204724409448819,0.8412579683524136
